Target:,Benchmark:,Exitcode:,Total instructions:,Analyzed Functions:,Entry/Exit instrumented:,Register analyzed:,Analyzed Instructions:,Added I Total:,Added I MemAccess:,Added I Funct Entry/Exit:,Exception Handling:,Wrapper Functions:,Detected MemAccesses:,Not instrumented:,Stack Canaries:,Stack Local Variables:,Constant Memory Read:,Stack Memory:,Pointer Inference:,Static Variable Guards:,Spin Locks:
XnView,_REAL,0,2734655,27613,22001,26792,2672629,6232536,5615995,553387,63154,0,634034,56812,2378,54439,0,0,21464,22,3134
b1manager,_REAL,0,1006069,13385,11721,12945,985825,2623800,2285384,298352,40064,0,230904,55580,1514,54066,0,0,164,0,846
dalted,_REAL,0,1486739,16117,8323,10035,1463202,4747715,4494529,212257,40929,0,384064,45520,32,45174,314,0,717,0,2944
ffmpeg,_REAL,0,3724868,18924,15868,18438,3416446,10666684,10303249,363435,0,0,760874,199805,0,199805,0,0,32,0,47
libQt5Core,_REAL,0,768697,10131,6811,10102,754874,1693512,1508640,167463,17409,0,153944,37259,11077,22956,3237,0,5969,277,44
libgomp,_REAL,0,43247,781,440,671,41954,122617,111536,11081,0,0,9850,1662,0,1662,0,0,57,0,6
lrzip,_REAL,0,55211,355,307,353,54237,151076,140205,7239,3632,0,12822,1427,0,1427,0,0,0,0,0
masterpdfeditor5,_REAL,0,4048783,49999,33145,49294,3965758,9035972,8174078,803752,58142,0,846774,107531,127,107405,0,0,17187,174,661
monkey,_REAL,0,17369,381,210,239,16282,40903,35632,5271,0,0,3597,590,230,249,111,0,0,0,0
okular,_REAL,0,18059,436,102,137,16321,37633,35254,2379,0,0,3898,465,198,268,0,0,308,0,0
rar,_REAL,0,115462,1124,994,1088,113914,308491,277684,25095,5712,0,25190,3673,0,3673,0,0,8,0,69
sqlite3,_REAL,0,310723,2418,1976,2285,307488,921978,868934,53044,0,0,75673,9591,0,9591,0,0,313,0,2
vuescan,_REAL,0,3230846,26173,20728,25688,3170301,8262356,7679494,527029,55833,0,728004,117453,30112,87366,0,0,4494,140,3096
505.mcf_r,SPEC,0,4578,44,41,44,4355,14452,13400,1052,0,0,1132,267,0,267,0,0,0,0,0
531.deepsjeng_r,SPEC,0,18065,112,102,109,17754,62826,60033,2793,0,0,4277,517,0,517,0,0,0,0,0
541.leela_r,SPEC,0,45566,416,347,413,44667,123530,111398,9251,2881,0,9629,1898,0,1898,0,0,0,0,57
548.exchange2_r,SPEC,0,31148,15,14,15,30941,168930,168732,198,0,0,12954,2253,0,2253,0,0,0,0,0
557.xz_r,SPEC,0,33721,385,296,367,33070,96298,88087,8211,0,0,6761,1269,0,1269,0,0,0,0,0
blackscholes,PARSEC,0,1214,5,4,5,1044,2626,2549,77,0,0,240,90,0,90,0,0,0,0,0
bodytrack,PARSEC,0,107833,1330,1092,1326,105639,355464,324852,30612,0,0,29454,3576,0,3576,0,0,4,0,90
canneal,PARSEC,0,6501,39,36,38,6176,18718,17872,846,0,0,1591,188,0,188,0,0,0,0,0
dedup,PARSEC,0,26073,129,118,124,25682,97917,94719,3198,0,0,6260,1071,0,1071,0,0,0,0,0
facesim,PARSEC,0,604662,3547,3183,3511,599760,2992150,2910028,71596,10526,0,216809,13109,0,13109,0,0,34,0,184
ferret,PARSEC,0,127357,784,695,766,126093,434880,420430,14450,0,0,33685,5294,0,5294,0,0,0,0,0
fluidanimate,PARSEC,0,5752,34,32,33,5451,16590,15854,736,0,0,1474,150,0,150,0,0,0,0,0
freqmine,PARSEC,0,16370,77,73,76,16045,80827,79125,1702,0,0,6111,781,0,781,0,0,0,0,0
raytrace,PARSEC,0,990246,5217,2824,4502,974531,4146685,4075797,70888,0,0,249736,40849,0,40849,0,0,0,0,19
streamcluster,PARSEC,0,8195,36,30,35,7924,20991,20223,768,0,0,1621,564,0,564,0,0,0,0,0
swaptions,PARSEC,0,13969,46,35,44,13700,66752,65986,766,0,0,4548,872,0,872,0,0,0,0,0
vips,PARSEC,0,1156099,6022,4328,5614,1148206,4696656,4580538,116118,0,0,268950,37179,0,37179,0,0,0,0,0
x264,PARSEC,0,464677,1553,1385,1546,368501,1357532,1324247,33285,0,0,107757,12289,0,12289,0,0,14,0,2
