type;target;uninstrumented_size;zipr_instrumented_size;bintsan_instrumented_size;growth due to zipr (%);growth to original (%);growth to zipr (%);percentage of growth due to bintsan (%)
PARSEC;blackscholes;18.81 KB;33.22 KB;54.89 KB;76.6%;191.85%;65.26%;60.07%
PARSEC;bodytrack;588.92 KB;1.06 MB;1.73 MB;79.78%;194.42%;63.77%;58.97%
PARSEC;dedup;158.42 KB;244.37 KB;484.77 KB;54.26%;206.01%;98.37%;73.66%
PARSEC;ferret;644.47 KB;1.03 MB;2.13 MB;59.65%;230.33%;106.9%;74.1%
PARSEC;fluidanimate;47.81 KB;81.25 KB;152.17 KB;69.96%;218.29%;87.27%;67.95%
PARSEC;freqmine;88.6 KB;151.06 KB;365.0 KB;70.5%;311.96%;141.62%;77.4%
PARSEC;raytrace;5.53 MB;9.22 MB;18.76 MB;66.71%;239.04%;103.37%;72.09%
PARSEC;streamcluster;51.82 KB;84.31 KB;147.25 KB;62.7%;184.18%;74.66%;65.96%
PARSEC;swaptions;80.3 KB;104.78 KB;171.38 KB;30.49%;113.43%;63.56%;73.12%
PARSEC;vips;6.3 MB;11.0 MB;20.7 MB;74.46%;228.38%;88.23%;67.4%
REAL;QtNotepad;39.39 KB;75.86 KB;116.73 KB;92.59%;196.33%;53.87%;52.84%
REAL;axel;80.66 KB;135.45 KB;207.15 KB;67.92%;156.8%;52.93%;56.68%
REAL;ffmpeg;20.76 MB;35.4 MB;57.7 MB;70.51%;177.89%;62.97%;60.36%
REAL;libQt5Core.so;5.52 MB;10.66 MB;20.28 MB;93.1%;267.34%;90.23%;65.17%
REAL;libSwell.so;753.13 KB;1.56 MB;3.31 MB;106.93%;339.51%;112.39%;68.5%
REAL;lrzip;283.03 KB;584.96 KB;1.23 MB;106.68%;333.96%;109.97%;68.06%
REAL;pbz2;80.76 KB;170.15 KB;318.82 KB;110.69%;294.78%;87.38%;62.45%
REAL;pigz;146.24 KB;279.98 KB;419.11 KB;91.45%;186.59%;49.69%;50.99%
REAL;plzip;167.08 KB;352.89 KB;684.93 KB;111.21%;309.94%;94.09%;64.12%
REAL;rar;541.49 KB;1.09 MB;2.6 MB;101.06%;379.72%;138.6%;73.39%
REAL;reaper;10.58 MB;23.63 MB;49.12 MB;123.24%;364.1%;107.89%;66.15%
REAL;sqlite3;1.98 MB;3.39 MB;5.8 MB;71.22%;193.3%;71.3%;63.16%
REAL;unrar;319.28 KB;712.19 KB;1.37 MB;123.06%;328.74%;92.21%;62.57%
REAL;x265;162.01 KB;232.61 KB;307.11 KB;43.58%;89.56%;32.03%;51.34%
REAL;xz;81.18 KB;163.9 KB;218.38 KB;101.91%;169.03%;33.24%;39.71%
SPEC;505.mcf_r;34.94 KB;65.89 KB;112.47 KB;88.61%;221.93%;70.68%;60.07%
SPEC;523.cpuxalan_r;7.25 MB;16.37 MB;29.27 MB;125.9%;303.81%;78.76%;58.56%
SPEC;525.x264_r;674.98 KB;1.02 MB;2.43 MB;51.81%;259.52%;136.82%;80.04%
SPEC;531.deepsjeng_r;104.61 KB;181.82 KB;339.03 KB;73.81%;224.09%;86.46%;67.06%
SPEC;541.leela_r;267.31 KB;484.38 KB;868.98 KB;81.2%;225.08%;79.4%;63.92%
SPEC;548.exchange2_r;174.3 KB;244.56 KB;708.57 KB;40.3%;306.51%;189.74%;86.85%
SPEC;557.xz_r;215.34 KB;352.7 KB;531.93 KB;63.79%;147.02%;50.82%;56.61%
